FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH
40887,41328-11815,1S-MH-MU-ZNT-CL09-7459,1S-MH-MU-ZNT-CL09-6539,1,41328,11815
40888,40888-7670,1S-MH-MU-ZNT-RSTN-DACH,1S-MH-MU-ZNT-CL04-6605,1,40888,7670
40888,7668-36320,1S-MH-MU-ZNT-CL04-6605,1S-MH-MU-ZNT-CL09-7365,1,7668,36320
40888,34699-38294,1S-MH-MU-ZNT-CL09-7365,1S-MH-MU-ZNT-CL04-7209,1,34699,38294
40888,38295-13578,1S-MH-MU-ZNT-CL04-7209,1S-MH-MU-ZNT-CL09-6725,1,38295,13578
40888,13580-17118,1S-MH-MU-ZNT-CL09-6725,1S-MH-MU-ZNT-CL10-6476,1,13580,17118
40888,17116-37998,1S-MH-MU-ZNT-CL10-6476,1S-MH-MU-ZNT-CL10-7791,1,17116,37998
40888,34698-28259,1S-MH-MU-ZNT-CL09-7365,1S-MH-MU-ZNT-CL04-6959,1.1,34698,28259
40888,28257-12943,1S-MH-MU-ZNT-CL04-6959,1S-MH-MU-ZNT-CL04-6307,1.1,28257,12943
40893,40893-38790,1S-MH-MU-ZNT-RSTN-DACH,1S-MH-MU-ZNT-CL04-6392,1,40893,38790
40893,38789-38664,1S-MH-MU-ZNT-CL04-6392,1S-MH-MU-ZNT-CL04-6917,1,38789,38664
40893,38665-18641,1S-MH-MU-ZNT-CL04-6917,1S-MH-MU-ZNT-RSTN-MIRA,1,38665,18641
40893,18641-11271,1S-MH-MU-ZNT-RSTN-MIRA,1S-MH-MU-ZNT-CL04-6003,1,18641,11271
40894,40894-43132,1S-MH-MU-ZNT-RSTN-DACH,1S-MH-MU-ZNT-CL04-8912,1,40894,43132
40894,43133-15463,1S-MH-MU-ZNT-CL04-8912,1S-MH-MU-ZNT-CL04-6119,1,43133,15463
40894,15462-26865,1S-MH-MU-ZNT-CL04-6119,1S-MH-MU-ZNT-CL04-6866,1,15462,26865
40894,26863-28820,1S-MH-MU-ZNT-CL04-6866,1S-MH-MU-ZNT-CL04-6987,1,26863,28820
40894,28821-14221,1S-MH-MU-ZNT-CL04-6987,1S-MH-MU-ZNT-CL09-6360,1,28821,14221
40894,14219-17677,1S-MH-MU-ZNT-CL09-6360,1S-MH-MU-ZNT-CL09-6167,1,14219,17677
40894,17679-26358,1S-MH-MU-ZNT-CL09-6167,1S-MH-MU-ZNT-CL09-6933,1,17679,26358
40894,26360-13502,1S-MH-MU-ZNT-CL09-6933,1S-MH-MU-ZNT-CL09-6361,1,26360,13502
40894,13501-41329,1S-MH-MU-ZNT-CL09-6361,1S-MH-MU-ZNT-CL09-7459,1,13501,41329
40894,26862-42698,1S-MH-MU-ZNT-CL04-6866,1S-MH-MU-ZNT-CL09-6223,1.1,26862,42698
40894,26864-HTCONSUMER,1S-MH-MU-ZNT-CL04-6866,NAN,1.2,26864,HTCONSUMER
40894,28047-15464,1S-MH-MU-ZNT-CL04-6119,1S-MH-MU-ZNT-CL09-6956,1.3,28047,15464
40894,11817-28045,1S-MH-MU-ZNT-CL09-6956,1S-MH-MU-ZNT-CL09-6539,1.3,11817,28045
40896,40896-14712,1S-MH-MU-ZNT-RSTN-DACH,1S-MH-MU-ZNT-CL10-6047,1,40896,14712
40896,14714-37815,1S-MH-MU-ZNT-CL10-6047,1S-MH-MU-ZNT-CL10-6528,1,14714,37815
40896,37814-17121,1S-MH-MU-ZNT-CL10-6528,1S-MH-MU-ZNT-CL10-6715,1,37814,17121
40896,17121-38339,1S-MH-MU-ZNT-CL10-6715,1S-MH-MU-ZNT-CL10-7826,1,17121,38339
40896,38340-18147,1S-MH-MU-ZNT-CL10-7826,1S-MH-MU-ZNT-CL10-6091,1,38340,18147
40896,18148-10071,1S-MH-MU-ZNT-CL10-6091,1S-MH-MU-ZNT-CL10-6716,1,18148,10071
40896,10069-14837,1S-MH-MU-ZNT-CL10-6716,1S-MH-MU-ZNT-CL10-6669,1,10069,14837
40896,14835-42116,1S-MH-MU-ZNT-CL10-6669,1S-MH-MU-ZNT-CL10-7837,1,14835,42116
40896,14848-HTCONSUMER,1S-MH-MU-ZNT-CL10-6091,NAN,1.1,14848,HTCONSUMER
40896,17119-9579,1S-MH-MU-ZNT-CL10-6715,1S-MH-MU-ZNT-CL10-6720,1.2,17119,9579
40896,12430-42368,1S-MH-MU-ZNT-CL10-6528,1S-MH-MU-ZNT-CL10-7981,1.3,12430,42368
40896,42367-37997,1S-MH-MU-ZNT-CL10-7981,1S-MH-MU-ZNT-CL10-7791,1.3,42367,37997
40897,40897-37779,1S-MH-MU-ZNT-RSTN-DACH,1S-MH-MU-ZNT-CL04-6393,1,40897,37779
40897,37777-29737,1S-MH-MU-ZNT-CL04-6393,1S-MH-MU-ZNT-CL04-7037,1,37777,29737
40897,29738-38668,1S-MH-MU-ZNT-CL04-7037,1S-MH-MU-ZNT-CL04-7867,1,29738,38668
40897,37778-HTCONSUMER,1S-MH-MU-ZNT-CL04-6393,NAN,1.1,37778,HTCONSUMER
40899,40899-41479,1S-MH-MU-ZNT-RSTN-DACH,1S-MH-MU-ZNT-CL04-7972,1,40899,41479
40899,41478-40065,1S-MH-MU-ZNT-CL04-7972,1S-MH-MU-ZNT-CL04-7931,1,41478,40065
40899,40066-43120,1S-MH-MU-ZNT-CL04-7931,1S-MH-MU-ZNT-CL04-7943,1,40066,43120
40899,43119-43113,1S-MH-MU-ZNT-CL04-7943,1S-MH-MU-ZNT-CL04-7922,1,43119,43113
40899,43114-43117,1S-MH-MU-ZNT-CL04-7922,1S-MH-MU-ZNT-CL04-7923,1,43114,43117
40899,43116-40062,1S-MH-MU-ZNT-CL04-7923,1S-MH-MU-ZNT-CL04-7928,1,43116,40062
