FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
14426,12280-19981,1S-MH-MU-ZCT-CL10-4417,1S-MH-MU-ZCT-CL10-4906,1S-MH-MU-ZCT-CL10-4906,1,2025-04-04,186.0935265700483,10.28144953680997
14426,19983-31101,1S-MH-MU-ZCT-CL10-4906,1S-MH-MU-ZCT-CL10-5087,1S-MH-MU-ZCT-CL10-5087,2,2025-04-04,153.23502702702703,8.46605589505585
14426,31103-12832,1S-MH-MU-ZCT-CL10-5087,1S-MH-MU-ZCT-CL10-4418,1S-MH-MU-ZCT-CL10-4418,3,2025-04-04,175.1972,9.67944024701136
14426,16251-12830,1S-MH-MU-ZCT-CL10-4418,1S-MH-MU-ZCT-CL10-4418,1S-MH-MU-ZCT-CL10-4418,4,2025-04-04,175.1972,9.67944024701136
14427,14427-4734,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4320,1S-MH-MU-ZCT-CL10-4320,0,,,
14428,14428-39372,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-5669,1S-MH-MU-ZCT-CL10-5669,0,2025-04-04,226.37105263157892,12.506735710390531
14428,39373-36864,1S-MH-MU-ZCT-CL10-5669,1S-MH-MU-ZCT-CL10-4588,1S-MH-MU-ZCT-CL10-4588,1,2022-07-06,436.5075144508671,24.11652927956963
14428,39376-39371,1S-MH-MU-ZCT-CL10-5669,1S-MH-MU-ZCT-CL10-5669,1S-MH-MU-ZCT-CL10-5669,1,2025-04-04,226.37105263157892,12.506735710390531
14428,36865-38307,1S-MH-MU-ZCT-CL10-4588,1S-MH-MU-ZCT-CL10-5604,1S-MH-MU-ZCT-CL10-5604,2,2025-04-04,95.51771428571428,5.277241919161235
14428,38314-38317,1S-MH-MU-ZCT-CL10-5604,1S-MH-MU-ZCT-CL10-5603,1S-MH-MU-ZCT-CL10-5603,3,2025-04-04,215.59350253807105,11.911288681903311
14428,38313-38308,1S-MH-MU-ZCT-CL10-5604,1S-MH-MU-ZCT-CL10-5604,1S-MH-MU-ZCT-CL10-5604,3,2025-04-04,95.51771428571428,5.277241919161235
14429,14429-32898,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4590,1S-MH-MU-ZCT-CL10-4590,0,2025-04-04,222.7932773109244,12.30906781139724
14429,32896-42475,1S-MH-MU-ZCT-CL10-4590,1S-MH-MU-ZCT-CL10-4834,1S-MH-MU-ZCT-CL10-4834,1,2025-04-04,348.47828282828283,19.25301726293279
14429,6978-32691,1S-MH-MU-ZCT-CL10-4834,1S-MH-MU-ZCT-CL10-4838,1S-MH-MU-ZCT-CL10-4838,2,2025-04-04,1002.9375609756098,55.41112639326843
14429,18521-15871,1S-MH-MU-ZCT-CL10-4838,1S-MH-MU-ZCT-CL10-4839,1S-MH-MU-ZCT-CL10-4839,3,2025-04-04,526.1843902439025,29.0710717082006
14429,15872-15891,1S-MH-MU-ZCT-CL10-4839,1S-MH-MU-ZCT-CL10-4238,1S-MH-MU-ZCT-CL10-4238,4,2025-04-04,333.2532093023256,18.41184977023966
14429,15889-28689,1S-MH-MU-ZCT-CL10-4238,1S-MH-MU-ZCT-CL10-5024,1S-MH-MU-ZCT-CL10-5024,5,2025-04-04,61.79089947089947,3.413874874927552
18812,18812-14398,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4230,1S-MH-MU-ZCT-CL10-4230,0,2025-04-04,741.9298076923077,40.99075351109676
18812,18812-43789,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4592,1S-MH-MU-ZCT-CL10-4592,0,2025-04-04,569.0867142857143,31.44137489809539
18812,43788-42147,1S-MH-MU-ZCT-CL10-4592,1S-MH-MU-ZCT-RSTN-KADA,1S-MH-MU-ZCT-RSTN-KADA,1,,,
18812,11569-43790,1S-MH-MU-ZCT-CL10-4592,1S-MH-MU-ZCT-CL10-4592,1S-MH-MU-ZCT-CL10-4592,1,2025-04-04,569.0867142857143,31.44137489809539
31053,31053-18305,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-CL08-4200,1S-MH-MU-ZCT-CL08-4200,0,2025-04-04,412.1151219512195,22.7688781431246
31056,31056-30541,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-CL08-5104,1S-MH-MU-ZCT-CL08-5104,0,2025-04-04,56.82835978835978,3.1397003656855915
31056,31056-25214,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-CL08-4509,1S-MH-MU-ZCT-CL08-4509,0,2025-04-04,182.3192118226601,10.07292306452184
31056,25213-25225,1S-MH-MU-ZCT-CL08-4509,1S-MH-MU-ZCT-CL08-4923,1S-MH-MU-ZCT-CL08-4923,1,2025-04-04,276.89257425742574,15.29799064919935
31056,25226-26636,1S-MH-MU-ZCT-CL08-4923,1S-MH-MU-ZCT-CL08-4965,1S-MH-MU-ZCT-CL08-4965,2,2025-04-04,417.273786407767,23.05388831658361
31056,25227-18406,1S-MH-MU-ZCT-CL08-4923,1S-MH-MU-ZCT-CL08-4512,1S-MH-MU-ZCT-CL08-4512,2,2025-04-04,266.1990338164251,14.707185055687212
31056,26634-26558,1S-MH-MU-ZCT-CL08-4965,1S-MH-MU-ZCT-CL08-4962,1S-MH-MU-ZCT-CL08-4962,3,2025-04-04,387.4325490196079,21.40519487744436
31056,26557-26211,1S-MH-MU-ZCT-CL08-4962,1S-MH-MU-ZCT-CL08-4957,1S-MH-MU-ZCT-CL08-4957,4,2025-04-04,330.9208955223881,18.282992163667256
31056,26556-35611,1S-MH-MU-ZCT-CL08-4962,1S-MH-MU-ZCT-CL08-4694,1S-MH-MU-ZCT-CL08-4694,4,2025-04-04,261.04019607843134,14.422165308631104
31056,26209-35608,1S-MH-MU-ZCT-CL08-4957,1S-MH-MU-ZCT-CL08-4694,1S-MH-MU-ZCT-CL08-4694,5,2025-04-04,261.04019607843134,14.422165308631104
31056,35609-18684,1S-MH-MU-ZCT-CL08-4694,1S-MH-MU-ZCT-CL08-4278,1S-MH-MU-ZCT-CL08-4278,5,2025-04-04,324.65782178217825,17.936964669900306
31056,18691-35610,1S-MH-MU-ZCT-CL08-4694,1S-MH-MU-ZCT-CL08-4694,1S-MH-MU-ZCT-CL08-4694,5,2025-04-04,261.04019607843134,14.422165308631104
31057,31057-31359,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-CL08-5105,1S-MH-MU-ZCT-CL08-5105,0,,,
31057,31057-34411,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-CL08-5104,1S-MH-MU-ZCT-CL08-5104,0,2025-04-04,56.82835978835978,3.1397003656855915
31057,30549-31062,1S-MH-MU-ZCT-CL08-5104,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-RSTN-RAHE,1,2024-06-04,52.79483146067415,2.9168526464728375
31057,30555-34409,1S-MH-MU-ZCT-CL08-5104,1S-MH-MU-ZCT-CL08-5104,1S-MH-MU-ZCT-CL08-5104,1,2025-04-04,56.82835978835978,3.1397003656855915
31058,31058-31312,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-CL09-5135,1S-MH-MU-ZCT-CL09-5135,0,2025-04-04,132.27884514435695,7.308251373415054
31058,31314-31951,1S-MH-MU-ZCT-CL09-5135,1S-MH-MU-ZCT-CL08-5156,1S-MH-MU-ZCT-CL08-5156,1,2025-04-04,266.38117647058823,14.717248224147689
