SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
18626,61.557,77.503,91.653,103.728,133.792,99.482,101.232,101.232,100.505,114.376,83.392,61.829
18627,39.125,30.961,19.808,19.770,30.144,23.595,11.877,11.877,20.802,20.591,17.449,16.787
18628,40.722,33.005,38.400,38.705,64.388,53.282,100.127,100.127,37.903,45.374,40.763,31.370
18629,57.353,57.273,72.447,81.530,90.801,85.732,88.388,88.388,73.069,82.561,73.498,52.543
18632,61.672,50.443,73.528,89.859,96.288,93.690,89.694,89.694,78.276,89.097,76.479,68.773
18633,44.288,45.263,51.732,59.007,60.664,60.007,54.805,54.805,51.714,57.058,45.733,42.524
18634,288.411,301.886,332.943,394.502,430.376,421.755,419.401,419.401,372.069,396.755,335.476,268.876
18635,86.972,92.274,96.053,99.538,103.581,106.350,106.450,106.450,103.155,114.184,102.711,94.636
18636,69.367,73.363,81.842,105.184,120.405,125.343,125.980,125.980,84.637,95.039,78.567,63.498
18637,0.720,0.782,0.857,0.298,0.089,0.356,0.355,0.355,1.458,1.456,1.457,1.441
18638,28.563,29.578,32.748,49.417,60.756,46.700,44.965,44.965,35.847,40.045,32.820,0.308
18641,1.170,1.398,1.402,2.363,2.464,2.587,2.626,2.626,0.000,0.000,0.000,0.000
18642,58.258,51.772,58.627,70.894,108.355,121.107,127.829,127.829,93.808,71.754,60.177,92.165
18643,203.308,206.334,250.610,281.673,294.946,329.215,344.187,344.187,295.954,260.804,216.001,237.156
18644,35.282,37.804,37.968,38.320,39.010,36.833,35.225,35.225,40.389,41.308,33.844,35.375
18645,1.577,1.718,1.703,3.284,3.581,3.723,3.771,3.771,0.000,0.000,0.000,0.000
18646,35.061,39.004,48.782,56.590,44.083,45.676,40.615,40.615,56.246,50.754,44.657,48.553
18648,84.248,77.873,110.208,139.243,114.315,130.799,144.889,144.889,,,,
18812,43.191,48.473,50.656,94.199,107.098,110.167,124.453,124.453,107.529,113.718,91.677,75.363
18822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18823,14.987,15.648,18.089,24.711,27.360,24.499,26.568,26.568,,,,
18824,102.836,86.028,100.513,108.479,124.772,114.880,121.051,121.051,100.656,112.425,94.024,84.984
18825,23.085,15.245,0.000,5.283,13.602,0.608,0.000,0.000,28.774,0.000,1.174,0.269
18826,48.367,50.697,62.538,64.684,67.118,65.061,68.501,68.501,59.088,65.188,55.610,48.374
18827,241.218,228.196,247.832,276.824,304.540,286.190,299.277,299.277,256.989,253.038,231.093,202.961
